route_type,route_id,route_short_name,route_long_name,agency_id,route_desc,route_color,route_text_color
3,7571215,521,Trotro 521 : Accra New Tema Station ↔ Chemuna,AM3,,1779c2,ffffff
3,7574301,441,Trotro 441 : Okponglo ↔ American House,AM3,,1779c2,ffffff
3,7495685,176,Trotro 176 : Bubiashie Control (Old Station ) ↔ Circle,AM3,,1779c2,ffffff
3,7471624,208,Trotro 208 : Circle ↔ Stadium,AM3,,1779c2,ffffff
3,7460876,290,Trotro 290 : Kaneshie Takoradi Station ↔ Dansoman Last Stop,AM3,,1779c2,ffffff
3,7496962,56,Trotro 56 : Abeka Lapaz ↔ Race Course,AM3,,1779c2,ffffff
3,7462415,301,Trotro 301 : Korle Bu ↔ Kasoa,AM3,,1779c2,ffffff
3,7453712,88,Trotro 88 : Achimota ↔ Asofan,AM3,,1779c2,ffffff
3,7480337,309,Trotro 309 : Kotobabi Down ↔ Circle Lido,AM3,,1779c2,ffffff
3,7461906,435,Trotro 435 : Odorkor ↔ Kasoa,AM3,,1779c2,ffffff
3,7571475,473,Trotro 473 : Accra Salaga ↔ Chemuna,AM3,,1779c2,ffffff
3,7458324,52,Trotro 52 : Abeka Lapaz ↔ Mayera,AM3,,1779c2,ffffff
3,7485974,310,Trotro 310 : Kotobabi Down ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7517720,36,Trotro 36 : Abeka Lapaz ↔ Agbogbloshie,AM3,,1779c2,ffffff
3,7460717,288,Trotro 288 : Kaneshie ↔ Swanlake,AM3,,1779c2,ffffff
3,7420442,76,Trotro 76 : Achimota ↔ 37,AM3,,1779c2,ffffff
3,7499803,337,Trotro 337 : Abeka Lapaz ↔ Ashaiman,AM3,,1779c2,ffffff
3,7423322,275,Trotro 275 : Kaneshie ↔ Madina-Adenta,AM3,,1779c2,ffffff
3,7580705,303,Trotro 303 : Korle Bu ↔ Mallam,AM3,,1779c2,ffffff
3,7457826,523,Trotro 523 : Accra New Tema Station ↔ Trade Fair (La),AM3,,1779c2,ffffff
3,7421019,2,Trotro 2 : 37 Lorry Park ↔ Osu (37 Station),AM3,,1779c2,ffffff
3,7499300,240,Trotro 240 : Dansoman ↔ Nyamekye,AM3,,1779c2,ffffff
3,7482407,343,Trotro 343 : Abeka Lapaz ↔ Race Course,AM3,,1779c2,ffffff
