route_id,trip_id,service_id,shape_id,trip_headsign,direction_id
7518975,344,0,7518920,Ashiaman,0
7437148,0,0,7437119,Amasaman,0
7593083,346,0,7593076,Nima Overhead Maamobi,0
7593083,347,0,7593019,Alajo Station,1
7589525,340,0,7589522,Nima Overhead Maamobi,0
7589525,341,0,7589438,Achimota Terminal,1
7435747,342,0,7435456,Ashaiman Main Station,0
7435747,343,0,7435650,Abeka Lapaz,1
7472170,348,0,7472169,Nima Overhead,0
7472170,349,0,7472135,Israel Lomnava,1
7582991,298,0,7582989,Mataheko,0
7582991,299,0,7582985,Kaneshie,1
7517720,296,0,7517635,Agbogbloshie,0
7517720,297,0,7517718,Abeka Lapaz,1
7582949,294,0,7582938,Mallam Attah,0
7582949,295,0,7582921,Kotobabi Down/Polo park,1
7477772,292,0,7477758,Mallam Atta,0
7477772,293,0,7477561,Achimota,1
7477513,290,0,7477507,Legon,0
7477513,291,0,7477090,Dome,1
7459986,199,0,7459943,Agyapa Ye North Kaneshie,1
7459986,198,0,7459984,Kaneshie Market Station,0
7406253,195,0,7406251,Kaneshie,1
7406253,194,0,7406252,Shalom,0
7459791,197,0,7459789,Kaneshie Foot Bridge,1
7459791,196,0,7459268,Makola Tudu,0
7445109,191,0,7445107,Abeka Main Market,1
7445109,190,0,7444960,Circle Industrial Area,0
7422818,193,0,7422797,Kaneshie,1
7422818,192,0,7422764,Russia,0
7499803,270,0,7499756,Ashaiman,0
7499803,271,0,7499799,Abeka Lapaz,1
7480899,272,0,7480775,Lomnava,0
7480899,273,0,7480897,Abeka Lapaz,1
7483085,274,0,7482996,Madina,0
7483085,275,0,7483083,Abeka Lapaz,1
7482704,276,0,7482578,Omanjor,0
7482704,277,0,7482702,Abeka Lapaz,1
7482407,278,0,7482333,Race Course,0
7482407,279,0,7482394,Abeka Lapaz,1
7466844,524,0,7466810,Darkuman,0
7466844,525,0,7466825,Achimota,1
7473499,526,0,7473376,Dome /Ashongman Estates,0
7473499,527,0,7473495,Achimota,1
7453712,520,0,7453599,Asofan,0
7453712,521,0,7453708,Achimota,1
7517276,522,0,7517050,Adeyman,0
7517276,523,0,7517271,Abeka Lapaz,1
7454872,528,0,7454843,Dome Pillar 2,0
7454872,529,0,7454866,Achimota,1
7458729,449,0,7458410,Arena,1
7458729,448,0,7458710,Sukura,0
7571332,443,0,7571303,Agbogbloshie,1
7571332,442,0,7571322,Shiabu,0
7443816,441,0,7443807,Abeka Lapaz,1
7443816,440,0,7443792,Korle Bu,0
7459022,447,0,7458953,Accra Post Office,1
7459022,446,0,7458997,Soko,0
7598208,445,0,7598198,Accra Post Office,1
7598208,444,0,7598207,Soko,0
7497047,108,0,7496996,Madina,0
7497047,109,0,7497041,Circle Overhead,1
7473841,102,0,7473839,Circle,0
7473841,103,0,7473677,Accra New Tema Station,1
7418804,100,0,7418634,Tema (Motorway),0
7418804,101,0,7418705,Circle,1
7473856,106,0,7473852,Circle Overhead,0
7473856,107,0,7473851,Abeka Lapaz,1
7452837,104,0,7452793,Circle,0
7452837,105,0,7452834,WAEC,1
7546845,39,0,7546841,Arena,1
7546845,38,0,7546832,Kaneshie,0
7546726,33,0,7546702,Alajo Junction,1
7546726,32,0,7546679,Kotobabi Police Station,0
7475836,31,0,7475834,Alajo,1
7475836,30,0,7475767,Circle,0
7476180,37,0,7476011,Accra New Tema Station,1
7476180,36,0,7476130,Apapa,0
7440787,35,0,7440783,Abeka Lapaz,1
7440787,34,0,7440716,Sapeiman,0
7459283,438,0,7459269,Camara,0
7459283,439,0,7459274,Accra Salaga,1
7571419,436,0,7571363,Appiah Danquah,0
7571419,437,0,7571392,Accra Salaga,1
7571475,434,0,7571466,Chemuna,0
7571475,435,0,7571472,Accra Salaga,1
7459958,432,0,7459883,Osu Penta Hotel,0
7459958,433,0,7459937,Accra Rawlings Park,1
7573256,430,0,7573166,Nungua Authority,0
7573256,431,0,7573254,Accra Rawlings Park,1
7472304,339,0,7472219,Ashiaman,1
7472304,338,0,7472286,Nima Mamobi,0
7589313,335,0,7589111,Ashaiman,1
7589313,334,0,7589307,Nima,0
7476946,337,0,7476928,Circle,1
7476946,336,0,7476945,Nima,0
7477058,331,0,7477057,Accra New Town,1
7477058,330,0,7477001,Nima Maamobi,0
7588801,333,0,7588716,Accra,1
7588801,332,0,7588792,Nima,0
7518975,345,0,7518969,Abeka Lapaz,1
7474831,6,0,7474787,Mallam Attah,0
7471831,99,0,7471821,Circle,1
7471831,98,0,7471704,Teachers Hall,0
7471406,91,0,7471405,Circle,1
7471406,90,0,7471386,Ridge Hospital,0
7471624,93,0,7471608,Circle,1
7471624,92,0,7471482,Stadium,0
7418569,95,0,7418496,Circle,1
7418569,94,0,7418430,Swanlake Last Stop,0
7441993,97,0,7441989,Abeka Lapaz,1
7441993,96,0,7441963,Dome,0
7480290,238,0,7480239,Kotobabi Down,0
7480290,239,0,7480173,Accra CMB,1
7499299,234,0,7499292,Korle Bu,0
7499299,235,0,7499245,Darkuman,1
7486143,236,0,7486142,Kotobabi Down,0
7486143,237,0,7486056,37,1
7580705,230,0,7580677,Mallam,0
7580705,231,0,7580704,Korle Bu,1
7462998,232,0,7462990,Kaneshie,0
7462998,233,0,7462792,Dansoman,1
7437148,1,0,7437138,Abeka Lapaz,1
7553882,146,0,7553865,Darkuman,0
7553882,147,0,7553835,Accra CMB,1
7552568,144,0,7552566,Darkuman,0
7552568,145,0,7552552,Agbogbloshie,1
7488778,142,0,7488728,Santa Maria,0
7488778,143,0,7488767,Dansoman,1
7426651,140,0,7425735,Odorkor,0
7426651,141,0,7426645,Dansoman,1
7499148,148,0,7499139,Darkuman,0
7499148,149,0,7498817,Accra Post - Office,1
7552498,133,0,7552443,Awoshie,1
7552498,132,0,7552492,Dansoman,0
7552156,131,0,7552018,Arena,1
7552156,130,0,7552151,Dansoman,0
7499300,137,0,7499295,Dansoman,1
7499300,136,0,7496999,Nyamekye,0
7501043,135,0,7498111,Circle,1
7501043,134,0,7498214,Dansoman,0
7501604,494,0,7501558,Kasoa,0
7501604,495,0,7501597,Abossey-Okai,1
7498588,139,0,7498362,Bawaleshie,1
7498588,138,0,7498573,Circle Overhead,0
7418141,490,0,7416294,Sakumono Estate,0
7418141,491,0,7418029,Abeka Lapaz,1
7559234,492,0,7559191,Accra,0
7559234,493,0,7559224,Abelemkpe,1
7542142,24,0,7542086,Teshie-Nungua,0
7542142,25,0,7542139,Achimota,1
7416167,26,0,7416050,Dome Kwabenya,0
7416167,27,0,7416141,Abeka Lapaz,1
7499479,20,0,7499451,Tema,0
7499479,21,0,7499478,Achimota,1
7542061,22,0,7541972,Tema Main Station,0
7542061,23,0,7542012,Achimota,1
7475647,28,0,7475602,Kaneshie,0
7475647,29,0,7475644,Akoto Lante,1
7586572,407,0,7586567,Opetekwei,1
7586572,406,0,7586571,Agbogbloshie,0
7579940,405,0,7579862,Christian Centre,1
7579940,404,0,7579927,Okponglo,0
7575488,403,0,7575476,Bawaleshie,1
7575488,402,0,7575482,Okponglo,0
7574301,401,0,7573640,American House,1
7574301,400,0,7573652,Okponglo,0
7574385,409,0,7574368,Circle,1
7574385,408,0,7574384,Opetekwei,0
7432489,379,0,7432422,Circle Odorna,1
7432489,378,0,7432263,Madina/Adenta,0
7463990,371,0,7463965,Accra New Tema Station,1
7463990,370,0,7463937,Cantonments,0
7594941,373,0,7594887,Accra New Tema Station,1
7594941,372,0,7594940,Nima Station,0
7463740,375,0,7463559,Agblezah,1
7463740,374,0,7463689,Odorna,0
7432164,377,0,7432100,Accra New Tema Station,1
7432164,376,0,7431880,Kotobabi Down,0
7461906,393,0,7461834,Kasoa,1
7461906,392,0,7461838,Odorkor,0
7471365,88,0,7471344,Osu RE,0
7471365,89,0,7471361,Circle,1
7597729,397,0,7597691,Odorkor,1
7597729,396,0,7597657,South Odorkor,0
7461761,395,0,7461708,Odorkor,1
7461761,394,0,7461665,Official Town,0
7551952,82,0,7551926,Orgle Road,0
7551952,83,0,7551948,Circle,1
7467971,80,0,7467968,Novotel,0
7467971,81,0,7467970,Circle,1
7471283,86,0,7471262,Osu RE,0
7471283,87,0,7471278,Circle,1
7468339,84,0,7468317,Osu Presby,0
7468339,85,0,7468337,Circle,1
7474831,7,0,7474823,Achimota,1
7485974,245,0,7485569,Abeka Lapaz,1
7485974,244,0,7485960,Kotobabi Down,0
7485324,247,0,7485266,A Lang,1
7485324,246,0,7485322,Kwashieman,0
7480337,241,0,7480327,Circle Lido,1
7480337,240,0,7480336,Kotobabi Down,0
7406210,243,0,7406209,Abeka Lapaz,1
7406210,242,0,7407644,37,0
7485398,249,0,7485362,Achimota,1
7485398,248,0,7485396,Kwashieman,0
7541690,519,0,7541688,Achimota,1
7541690,518,0,7541588,Akweteman Zongo,0
7437100,511,0,7437093,Abeka Lapaz,1
7437100,510,0,7437084,Tema Community One Market,0
7453025,513,0,7453016,Achimota,1
7453025,512,0,7452960,Adenta Station,0
7519069,515,0,7519055,Achimota,1
7519069,514,0,7519008,Adjiringanor,0
7452139,517,0,7452112,Achimota,1
7452139,516,0,7452016,Kuntunse/Satelite,0
7458324,458,0,7458035,Mayera,0
7458324,459,0,7458272,Abeka Lapaz,1
7599683,450,0,7599432,Sukura,0
7599683,451,0,7599545,Nima-Mamobi,1
7458358,452,0,7458319,Tabora Alhaji,0
7458358,453,0,7458155,Kaneshie Station,1
7443866,454,0,7443857,Mallam Gbawe,0
7443866,455,0,7443865,Abeka Lapaz,1
7559071,456,0,7558873,Manhia Afuaman,0
7559071,457,0,7558983,Abeka Lapaz,1
7488146,179,0,7488142,Kaneshie,1
7488146,178,0,7488101,Korlebu,0
7488223,177,0,7516796,Kaneshie,1
7488223,176,0,7488222,Good Shepherd,0
7485664,175,0,7485479,Chorkor,1
7485664,174,0,7485604,Kaneshie,0
7488333,173,0,7488258,Camara,1
7488333,172,0,7488287,Kaneshie,0
7488448,171,0,7488437,Bubuashie,1
7488448,170,0,7488446,Kaneshie,0
7582474,253,0,7582417,Kwashieman,1
7423322,182,0,7423029,Madina-Adenta,0
7423322,183,0,7423269,Kaneshie,1
7488069,180,0,7487993,Maamobi,0
7488069,181,0,7488056,Kaneshie,1
7423611,186,0,7423593,Mamprobi Alhaji,0
7423611,187,0,7423604,Kaneshie,1
7423582,184,0,7423503,Mamponse,0
7423582,185,0,7423570,Kaneshie,1
7424983,188,0,7423715,New town,0
7424983,189,0,7424841,Kaneshie,1
7541948,11,0,7541947,Achimota,1
7541948,10,0,7541922,Medie/Kotoku,0
7467672,13,0,7467671,Achimota,1
7467672,12,0,7467662,Ofankor,0
7415878,15,0,7415862,Abeka Lapaz,1
7415878,14,0,7415754,Circle Accra,0
7475350,17,0,7475327,Achimota,1
7475350,16,0,7475274,Ashaiman Main Station,0
7478164,19,0,7478156,Achimota,1
7478164,18,0,7477825,Taifa,0
7548114,62,0,7548092,Chorkor,0
7587970,322,0,7587968,New Town,0
7587970,323,0,7587870,Adenta,1
7481117,320,0,7481099,Accra New Town,0
7481117,321,0,7481021,37,1
7477085,326,0,7477078,Madina,0
7477085,327,0,7477084,Accra New Town,1
7588610,324,0,7588311,Kasoa,0
7588610,325,0,7588606,Accra New Town,1
7456425,328,0,7456407,Antie-Eku Pallas Town,0
7456425,329,0,7456423,Abeka Lapaz,1
7460324,201,0,7460301,Kaneshie Market Station,1
7460324,200,0,7460211,New Fadama,0
7460562,203,0,7460557,Kaneshie Market Station,1
7460562,202,0,7460472,North Industrial Area,0
7460717,205,0,7460658,Kaneshie,1
7460717,204,0,7460627,Swanlake,0
7517520,207,0,7517511,Abeka Main Market,1
7517520,206,0,7517381,Kaneshie,0
7460876,209,0,7460801,Dansoman Last Stop,1
7460876,208,0,7460874,Kaneshie Takoradi Station,0
7420855,77,0,7420795,Abeka Lapaz,1
7420855,76,0,7420681,Accra UTC,0
7421019,75,0,7421011,37 Lorry Park,1
7421019,74,0,7420887,Osu (37 Station),0
7479635,73,0,7479571,Circle,1
7479635,72,0,7479429,Kotobabi Down Polo Park,0
7479359,71,0,7479355,Circle,1
7479359,70,0,7479340,Immesco Rice,0
7467946,79,0,7467945,Circle,1
7467946,78,0,7467942,New Melcom,0
7473825,2,0,7473673,Legon Station,0
7425145,542,0,7425103,Circle Overhead,0
7425145,543,0,7425044,Ashaiaman,1
7480396,540,0,7480395,Nima - Maamobi,0
7480396,541,0,7480355,Circle,1
7563457,544,0,7563404,Sowutuom,0
7563457,545,0,7563449,Abeka Lapaz,1
7541891,8,0,7541816,Mayera/Adusa,0
7467938,68,0,7467775,Fadama Last stop,0
7549788,120,0,7549754,Odorkor,0
7549788,121,0,7549779,Accra CMB,1
7442241,122,0,7442032,Teshie Nungua,0
7442241,123,0,7442237,Abeka Lapaz,1
7549831,124,0,7549814,Omanjor,0
7549831,125,0,7549829,Accra CMB,1
7480162,126,0,7480068,Weija,0
7480162,127,0,7480160,Accra CMB,1
7498005,128,0,7497987,Dansoman,0
7498005,129,0,7497752,Achimota,1
7431840,414,0,7431595,Circle,0
7431840,415,0,7431798,Osu,1
7460396,416,0,7460368,Osu,0
7460396,417,0,7460240,Kaneshie,1
7461641,410,0,7461550,Opetekwei,0
7461641,411,0,7461508,Accra New Tema Station,1
7460628,412,0,7460577,Orgle-Road,0
7460628,413,0,7460522,Kaneshie,1
7465665,498,0,7464613,Nima,0
7460180,418,0,7460118,Osu,0
7460180,419,0,7460020,Madina,1
7465665,499,0,7465662,Accra,1
7584959,319,0,7584952,Accra New Tema Station,1
7584959,318,0,7584876,Ashaiman Main Station,0
7481516,313,0,7481510,Abeka Lapaz,1
7481516,312,0,7481499,Awoshie,0
7584600,311,0,7584596,Abeka Lapaz,1
7584600,310,0,7584548,Ashongman,0
7481388,317,0,7481384,Abeka Lapaz,1
7481388,316,0,7481244,Haatso,0
